site,platform,instruments
CE02SHBP-LJ01D,fixed,"06-CTDBPN106,06-DOSTAD106,09-PCO2WB103,10-PHSEND103"
CE04OSBP-LJ01C,fixed,"06-CTDBPO108,06-DOSTAD108,09-PCO2WB104,10-PHSEND107"
CE04OSPD-DP01B,profiler,"01-CTDPFL105,03-FLCDRA103,04-FLNTUA103,06-DOSTAD105"
CE04OSPS-PC01B,fixed,"4A-CTDPFA109,4A-DOSTAD109,4B-PHSENA106,4D-PCO2WA105"
CE04OSPS-SF01B,profiler,"2A-CTDPFA107,2B-PHSENA108,3A-FLORTD104,3C-PARADA102,4A-NUTNRA102,4F-PCO2WA102"
RS01SBPD-DP01A,profiler,"01-CTDPFL104,03-FLCDRA102,04-FLNTUA102,06-DOSTAD104"
RS01SBPS-PC01A,fixed,"4A-CTDPFA103,4A-DOSTAD103,4B-PHSENA102,4C-FLORDD103"
RS01SBPS-SF01A,profiler,"2A-CTDPFA102,2D-PHSENA101,3A-FLORTD101,3C-PARADA101,4A-NUTNRA101,4F-PCO2WA101"
RS01SLBS-LJ01A,fixed,"12-CTDPFB101,12-DOSTAD101"
RS03AXPD-DP03A,profiler,"01-CTDPFL304,03-FLCDRA302,03-FLNTUA302,06-DOSTAD304"
RS03AXPS-PC03A,profiler,"4A-CTDPFA303,4A-DOSTAD303,4B-PHSENA302,4C-FLORDD303"
RS03AXPS-SF03A,profiler,"2A-CTDPFA302,2D-PHSENA301,3A-FLORTD301,3C-PARADA301,4A-NUTNRA301,4F-PCO2WA301"